epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,205.877,2.69004,4.87836,2.56793,0.00299,0.19367,0.00466,0.00098,3.20871,5.48857,2.95178,0.000269733,0.000269733,0.000269733
2,403.533,2.32068,4.46252,2.29269,0.00295,0.41858,0.01283,0.00293,2.76737,4.97508,2.85472,0.000536561,0.000536561,0.000536561
3,599.7,2.31451,4.13982,2.26136,0.39687,0.06804,0.05053,0.01385,2.50999,4.6408,2.53499,0.000792394,0.000792394,0.000792394
4,821.217,2.23046,3.8411,2.23256,0.5373,0.14389,0.07061,0.02241,2.48581,5.75966,2.56833,0.00078352,0.00078352,0.00078352
5,1023.11,2.2108,3.76567,2.27059,0.17085,0.12796,0.03474,0.00923,2.49848,4.97194,2.57534,0.000767026,0.000767026,0.000767026
6,1219.3,2.14373,3.61661,2.23007,0.19473,0.27013,0.06682,0.01913,2.34235,5.04895,2.474,0.000750533,0.000750533,0.000750533
7,1414.38,2.17808,3.60961,2.23336,0.18433,0.20348,0.06107,0.02027,2.35723,4.15539,2.32242,0.00073404,0.00073404,0.00073404
8,1606.38,2.13546,3.44621,2.18353,0.49252,0.20312,0.10398,0.02767,2.42155,4.1159,2.52263,0.000717546,0.000717546,0.000717546
9,1799.33,2.1064,3.38023,2.19728,0.46247,0.19054,0.12007,0.0318,2.26193,3.56753,2.27882,0.000701053,0.000701053,0.000701053
10,1994.06,2.0602,3.31003,2.1265,0.59388,0.27342,0.10181,0.03347,2.2386,3.57845,2.26405,0.000684559,0.000684559,0.000684559
11,2220.11,2.04626,3.24713,2.09435,0.36484,0.21718,0.12532,0.03836,2.1549,3.4585,2.23542,0.000668066,0.000668066,0.000668066
12,2945.56,2.02412,3.16828,2.10357,0.50785,0.23045,0.16392,0.05178,2.20396,3.33313,2.24373,0.000651573,0.000651573,0.000651573
13,3157.14,1.96061,3.15352,2.08545,0.62101,0.14421,0.1405,0.04218,2.2038,3.60731,2.25945,0.000635079,0.000635079,0.000635079
14,3392.25,2.01525,3.16495,2.11699,0.65584,0.22428,0.19246,0.05957,2.17071,3.38478,2.35471,0.000618586,0.000618586,0.000618586
15,3581.47,1.96723,3.07286,2.09813,0.50353,0.27436,0.21205,0.06552,2.10967,3.04351,2.25831,0.000602092,0.000602092,0.000602092
16,3769.71,1.98259,3.06448,2.06715,0.21791,0.35482,0.17193,0.055,2.15142,3.44186,2.28794,0.000585599,0.000585599,0.000585599
17,3998.97,1.94464,3.00065,2.06981,0.28674,0.27923,0.21738,0.06882,2.11956,3.14068,2.18244,0.000569106,0.000569106,0.000569106
18,4189.9,1.95424,2.95774,2.05739,0.35495,0.25911,0.21569,0.06396,2.21285,3.04967,2.1883,0.000552612,0.000552612,0.000552612
19,4381.54,1.91642,2.89773,2.05469,0.20529,0.29522,0.17912,0.05253,2.19441,3.17092,2.25924,0.000536119,0.000536119,0.000536119
20,4568.75,1.91033,2.82167,2.00997,0.24789,0.32725,0.21717,0.07382,2.06711,2.99507,2.20495,0.000519625,0.000519625,0.000519625
